row ID,Score,Phenotype,Potency,Aromatic Atoms Count,Bond Polarizabilities,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds Count,Topological Polar Surface Area,Molecular Weight,XLogP,Formal Charge,SP3 Character,Eccentric Connectivity Index,Amine
5351,0,Inactive,,0,50.704694,426.8165633,6,3,22,96.22,402.2981391,6.37,0,0.3,957,0
5353,42,Inhibitor,12.5893,6,35.19621,344.4549796,2,1,6,23.47,347.2015923,4.616,0,0.240740741,415,0
5355,0,Inactive,,10,106.075732,979.8062195,21,11,35,358.2,1084.472653,-0.394,0,0.263157895,3779,0
5357,0,Inactive,,0,54.66035,511.6172453,0,0,23,0,410.3912516,11.482,0,0.225,1016,0
5358,0,Inactive,,0,50.287522,441.0662035,2,2,12,40.46,402.3497807,8.553,0,0.333333333,698,0
5359,92,Inhibitor,0.0891,10,19.462484,296.5446605,4,2,11,189.32,360.0818321,1.896,0,0,577,0
5360,0,Inactive,,0,51.188694,438.6020622,3,0,10,29.54,423.2904073,4.765,0,0.309859155,696,0
5362,0,Inactive,,12,44.758554,364.8923741,6,4,14,153.14,428.0789909,2.702,0,0.08,652,0
5363,0,Inactive,,9,21.517484,208.3133607,8,4,7,139.54,285.0873321,-1.167,0,0.15625,305,0
5364,0,Inactive,,6,7.399242,137.6748785,1,1,4,20.23,175.9795702,2.455,0,0.0625,84,0
5366,0,Inactive,,11,48.300968,488.2973724,12,4,12,290.44,612.0766893,-2.619,0,0.125,959,0
5367,0,Inactive,,16,21.861277,263.6738177,7,3,7,163.27,370.0073433,1.972,0,0.029411765,393,0
5368,88,Inhibitor,1,9,50.177038,495.9341098,12,4,15,182.73,534.2325787,1.844,0,0.138888889,389,0
5371,0,Inactive,,6,10.455242,126.8942735,3,1,4,77.13,154.0378421,-2.064,0,0.058823529,99,0
5373,10,Inhibitor,22.3872,22,20.118105,291.6473793,4,1,5,50.7,346.0985242,4.36,0,0.025,572,0
5374,83,Inhibitor,8.9125,12,30.179761,353.3148636,5,3,10,102.32,369.151098,4.516,0,0.102040816,659,0
5376,0,Inactive,,0,36.763417,381.1234171,2,1,6,58.89,369.2303939,4.796,0,0.293103448,568,0
5377,0,Inactive,,6,87.873732,810.7328811,1,0,32,35.53,712.5794463,17.956,0,0.25,2554,0
5378,0,Inactive,,0,25.191726,196.6326171,2,0,9,26.3,195.1026065,0.603,0,0.233333333,111,0
5379,10,Inhibitor,35.4813,6,43.641038,383.2433835,2,0,5,18.46,471.1634273,5.315,0,0.266666667,481,0
5381,0,Inactive,,6,33.666968,296.4884087,4,1,8,59.06,318.1705332,0.595,1,0.234042553,456,0
1,0,Inactive,,0,16.710484,168.1944158,4,1,7,69.39,181.0505709,-0.716,0,0.173913043,96,1
10,0,Inactive,,0,18.882519,177.8046165,3,2,5,63.32,171.1259288,1.391,0,0.275862069,108,1
